anon_id,label,split,y,manifest_duration_s,duration_s,sample_rate,channels,subtype,format,file_bytes,md5,caller_rms_db,caller_peak,caller_clipping_fraction,caller_dc_offset,caller_zero_fraction,agent_rms_db,agent_peak,agent_clipping_fraction,agent_dc_offset,agent_zero_fraction,channel_correlation,n_caller_turns,n_agent_turns,caller_speech_s,agent_speech_s,caller_speech_fraction,mean_caller_turn_s,max_caller_turn_s,first_caller_start_s,last_caller_end_s,median_response_latency_s,std_response_latency_s,overlap_s,trailing_silence_s,vad_leading_silence_s,vad_trailing_silence_s,vad_speech_s,vad_speech_fraction,vad_n_regions,vad_mean_region_s,vad_precision,vad_recall,vad_f1,n_chunks,chunk_seconds,caller_rolloff95_hz,caller_centroid_hz,caller_hf_ratio_db,caller_speech_rms_db,caller_noise_floor_db,caller_snr_db
call_0181ce113ebe,synthetic,train,1,170,170.22,8000,2,PCM_16,WAV,5447084,44848db55e13c8450b3a91b1cd555432,-32.04572677612305,0.9803466796875,0.0,0.00012932688696309924,0.0005228527787569028,-25.511367797851562,0.9178466796875,0.0,-5.6861532357288525e-05,0.028143725766654918,-2.1607638004120287e-05,10,19,48.57999999999997,71.70000000000002,0.2853953706967452,4.857999999999997,11.36,10.5,144.26,3.320000000000009,0.9626962137663173,0.0,25.960000000000008,10.39,25.870000000000005,50.0299999999999,0.29391375866525615,12,4.1691666666666585,0.9644426687974431,0.9932112734005348,0.9786155873112394,16,48.76999999999994,968.75,462.8843155507621,-36.66770553588867,-26.728239059448242,-72.24716186523438,45.51892280578613
call_018c9d3823ac,synthetic,train,1,128,128.22,8000,2,PCM_16,WAV,4103084,1d5d8a8db13fe50fea2c08526a132111,-17.366437911987305,0.9803466796875,0.0,8.300616900669411e-05,0.0008423022929340197,-25.158815383911133,0.8553466796875,0.0,-6.592967110918835e-05,0.0324364373732647,0.0003959178993298578,10,14,43.88000000000003,58.26000000000001,0.3422243019809704,4.3880000000000035,21.64,10.54,106.06,2.5399999999999965,3.839924999267564,3.74,22.159999999999997,10.44,22.060000000000002,45.159999999999926,0.35220714397129876,13,3.4738461538461483,0.9577433628318585,0.9865542388331814,0.9719353390211046,16,43.189999999999955,1359.375,517.6935532190857,-35.48307418823242,-12.834429740905762,-72.24716186523438,59.41273212432861
call_01bf49059daf,synthetic,train,1,216,215.9,8000,2,PCM_16,WAV,6908844,60c7c9d9bb457d0f6504576b8d91f67c,-20.34345817565918,0.9803466796875,0.0,9.517950820736587e-05,0.002830592867068087,-26.327247619628906,0.8553466796875,0.0,-5.556086398428306e-05,0.02741431218156554,-1.053546971060856e-05,10,24,73.37999999999997,86.78000000000006,0.3398795738767946,7.3379999999999965,20.980000000000004,11.6,215.14,3.969999999999999,1.2736545842574432,0.66,0.7600000000000193,11.49,0.6599999999999966,75.33000000000001,0.3489115331171839,10,7.533000000000001,0.9737261146496815,1.0,0.9866881807180314,20,73.07000000000002,1046.875,598.4081199943985,-40.928672790527344,-15.7706298828125,-72.24716186523438,56.476531982421875
call_01c3806808d6,synthetic,train,1,149,149.12,8000,2,PCM_16,WAV,4771884,745645e119ae1a18d75633e2b9f0b65d,-24.62053108215332,0.8865966796875,0.0,0.0001455733727198094,0.0011894782725321888,-25.338550567626953,0.7928466796875,0.0,-5.802309897262603e-05,0.025321050160944207,1.4116890966211199e-05,10,23,24.380000000000006,73.15999999999998,0.16349248927038632,2.4380000000000006,7.600000000000001,11.14,126.4,2.7300000000000004,0.949871570266215,0.0,22.72,11.040000000000001,22.62000000000002,26.279999999999923,0.1762339055793986,10,2.627999999999992,0.9262917933130699,1.0,0.9617357001972386,7,21.799999999999976,2421.875,848.6771851465317,-42.15478515625,-17.081485748291016,-72.24716186523438,55.16567611694336
call_0294f969f98b,synthetic,val,1,109,108.78,8000,2,PCM_16,WAV,3481004,977a304b295749b2153636ab0b4b4fb1,-21.59364891052246,0.9803466796875,0.0,0.00013373490946833044,0.0031462585034013604,-24.58860206604004,0.8240966796875,0.0,-6.895421392982826e-05,0.028204863026291598,-0.0002273680712136218,14,20,17.200000000000006,55.70000000000002,0.15811730097444388,1.228571428571429,3.8400000000000034,5.54,101.88,2.0799999999999983,0.42194883140794687,3.06,6.900000000000006,5.44,6.8100000000000165,20.0399999999999,0.18422504136789758,14,1.4314285714285642,0.8584247258225324,1.0,0.9238197424892703,6,14.590000000000003,1546.875,516.7644798885848,-32.59101867675781,-14.289536476135254,-72.24716186523438,57.95762538909912
call_02c249d2f89d,synthetic,train,1,146,145.94,8000,2,PCM_16,WAV,4670124,faa10c9bfb4d2a1b6e03932220e7f639,-22.31713104248047,0.9803466796875,0.0,0.00011142721632495522,0.0015554337398931068,-25.517702102661133,0.8553466796875,0.0,-5.848957516718656e-05,0.025887350966150472,7.077841975993446e-05,16,23,28.020000000000024,73.21999999999993,0.19199671097711404,1.7512500000000015,5.1800000000000015,10.78,145.02,2.440000000000005,0.6617200597684793,2.2800000000000002,0.9199999999999875,10.67,0.8100000000000023,30.639999999999908,0.20994929423050507,16,1.9149999999999943,0.9035202086049544,0.9878831076265147,0.9438202247191011,12,27.01999999999996,562.5,270.04036854510224,-36.61663818359375,-15.612321853637695,-72.24716186523438,56.63484001159668
call_02d28871d7b3,synthetic,train,1,146,146.66,8000,2,PCM_16,WAV,4693164,ba932dce86f4751f3e6eccf7a0c5d594,-19.555007934570312,0.9803466796875,0.0,0.00012423511361703277,0.0007645233874267012,-25.128002166748047,0.9178466796875,0.0,-6.602719076909125e-05,0.03269211100504568,0.00011198048991153875,11,14,36.36000000000001,64.62,0.24792036001636444,3.305454545454546,8.339999999999998,12.56,145.84,3.4399999999999977,1.0602666123462525,0.0,0.8199999999999932,12.450000000000001,0.7299999999999898,37.46999999999998,0.255488885858448,9,4.16333333333333,0.9544121567581978,0.9845984598459846,0.9692703397861108,12,35.95999999999997,1031.25,515.5580167470528,-42.80023956298828,-13.761045455932617,-72.24716186523438,58.48611640930176
call_03680846967f,synthetic,train,1,174,173.84,8000,2,PCM_16,WAV,5562924,1ae9cdcf0afdde59f3c70a1cdefb69c6,-29.53434181213379,0.9803466796875,0.0,9.79558244580403e-05,0.0010224919466175794,-26.254064559936523,0.8553466796875,0.0,-6.444503378588706e-05,0.0360309767602393,-9.162270850433494e-05,10,13,75.30000000000003,65.76000000000008,0.4331569259088819,7.530000000000003,24.0,9.28,173.1,2.1799999999999855,2.6187752862741034,1.22,0.7400000000000091,9.18,0.6500000000000057,76.88999999999992,0.44230326737229586,11,6.989999999999992,0.9762028608582575,0.9966808284652151,0.9863355669425831,20,73.67999999999998,1093.75,467.67634203984437,-39.07619857788086,-25.991680145263672,-72.24716186523438,46.2554817199707
call_04d682ac0cef,human,train,0,185,185.46,8000,2,PCM_16,WAV,5934764,3e5b1db0ea0b3ab9fcf9f0f37919ebaa,-22.31377410888672,0.9803466796875,0.0,5.306950333761051e-05,0.00041787986627844277,-24.26512908935547,0.7615966796875,0.0,-6.946714711375535e-05,0.020867033322549338,-3.5696428976976376e-05,10,32,32.83999999999998,119.19999999999996,0.17707322333656844,3.283999999999998,5.619999999999997,9.44,159.26,1.0299999999999976,0.20302709178826273,0.32,26.200000000000017,9.34,26.099999999999994,34.23999999999999,0.18462202092095323,9,3.804444444444443,0.9489498249708285,0.9902587519025875,0.96916430805899,11,31.859999999999992,890.625,416.1911415910726,-37.68693542480469,-14.983573913574219,-72.24716186523438,57.263587951660156
call_05d6615469e1,synthetic,train,1,169,168.76,8000,2,PCM_16,WAV,5400364,fe899ed39101d277d6a6ed86a0df41fe,-27.816852569580078,0.6053466796875,0.0,9.188718831865117e-05,0.0004592320455084143,-26.39820098876953,0.9803466796875,0.0,-5.4647913202643394e-05,0.030816692344157383,0.0003346100460045658,27,19,63.41999999999998,60.88000000000001,0.37579995259540167,2.3488888888888884,5.719999999999999,10.54,167.86,6.480000000000004,4.870136200538645,2.14,0.8999999999999773,10.44,0.799999999999983,68.70999999999977,0.4071462431855876,27,2.544814814814806,0.9230433517602561,1.0,0.9599818443150011,25,64.7799999999998,1515.625,516.6590259561165,-40.94109344482422,-23.91444969177246,-72.24716186523438,48.332712173461914
call_0615c3630150,human,train,0,146,146.14,8000,2,PCM_16,WAV,4676524,e48761968c029c2936adae58a0318568,-30.63353729248047,0.8865966796875,0.0,9.776546357898042e-05,0.000682564664020802,-23.979373931884766,0.8865966796875,0.0,-6.059317820472643e-05,0.021008964007116465,-0.00043865124404518784,28,18,50.17999999999997,88.88000000000001,0.3433693718352263,1.7921428571428561,9.34,0.78,138.14,3.6400000000000006,5.310719754164234,17.52,8.0,5.75,9.45999999999998,48.75999999999977,0.3336526618311193,26,1.8753846153846065,0.931161647203442,0.9051981676956782,0.9179963643708342,15,37.26999999999996,2171.875,852.9092504093899,-26.605716705322266,-25.914825439453125,-72.24716186523438,46.33233642578125
call_064d8dd77899,synthetic,train,1,140,140.38,8000,2,PCM_16,WAV,4492204,4a84cb2ecf2e6c893f574cb94f593bab,-23.327302932739258,0.9490966796875,0.0,-3.3985317713813856e-05,0.0005636486679014104,-25.075241088867188,0.8240966796875,0.0,-6.843802839284763e-05,0.027620565607636417,-0.0005515180159560153,12,17,23.6,77.23999999999998,0.1681151161134065,1.9666666666666668,4.479999999999997,11.6,116.46,3.200000000000003,1.5873002936502663,1.44,23.92,11.49,23.820000000000007,25.70999999999994,0.18314574725744368,10,2.570999999999994,0.9097978227060654,0.9906858594411516,0.9485204702067288,8,22.629999999999985,1921.875,631.4848757191066,-34.63056564331055,-16.131103515625,-46.57561111450195,30.444507598876953
call_06b5a78ea12e,synthetic,train,1,133,133.1,8000,2,PCM_16,WAV,4259244,7b2d09852e2b2242071a6a9e4ced94a2,-26.134658813476562,0.7303466796875,0.0,9.359519026475027e-05,0.001181442524417731,-25.797382354736328,0.8865966796875,0.0,-6.32066949037835e-05,0.031188955672426747,7.95336549494584e-05,12,16,51.60000000000001,58.74000000000003,0.3876784372652142,4.300000000000001,19.28,9.28,132.26,2.049999999999997,0.49487091470627037,4.99,0.8400000000000034,9.19,0.7399999999999807,53.129999999999946,0.39917355371900787,10,5.312999999999994,0.963130173062453,0.9918636187524216,0.9772857415537316,16,50.89999999999997,1703.125,594.1376229337602,-40.93761444091797,-22.175140380859375,-72.24716186523438,50.072021484375
call_0847d7417bb1,synthetic,val,1,115,115.4,8000,2,PCM_16,WAV,3692844,83e2f5a404f8372f196540d83deda282,-23.572498321533203,0.9803466796875,0.0,0.00012744950072374195,0.0010799393414211438,-25.603271484375,0.7928466796875,0.0,-5.728485120926052e-05,0.02738518197573657,2.6035942963374014e-05,12,13,26.83999999999999,53.82000000000005,0.23258232235701895,2.236666666666666,8.879999999999995,11.5,114.6,2.6400000000000006,2.465550986426091,0.0,0.8000000000000114,11.44,0.7100000000000222,28.849999999999962,0.24999999999999967,13,2.2192307692307662,0.9246196403872753,0.9951618905842947,0.958594730238394,12,26.50999999999999,1671.875,646.117714249057,-40.79048538208008,-17.551944732666016,-72.24716186523438,54.69521713256836
call_092aef8d1243,human,train,0,135,134.76,8000,2,PCM_16,WAV,4312364,58c242d4ce5c638eeb873d6ef8652522,-30.473087310791016,0.8240966796875,0.0,0.00010349979129387066,0.0007485529830810329,-24.516756057739258,0.7303466796875,0.0,-6.479674630099908e-05,0.022906463342238052,-0.00030112017460534466,27,25,44.68000000000003,88.14,0.3315523894330664,1.6548148148148158,7.560000000000002,0.46,125.74,3.3999999999999986,3.7107025762606543,19.400000000000002,9.019999999999996,0.35,14.590000000000003,44.26999999999996,0.3285099436034429,26,1.7026923076923062,0.910770617395223,0.9034421099687081,0.9070915619389587,12,30.979999999999983,2000.0,784.0551530497295,-30.954654693603516,-25.739139556884766,-72.24716186523438,46.50802230834961
