split,feature,human_median,synthetic_median,spearman_label,missing_fraction,unique_values
train,manifest_duration_s,148.0,144.0,-0.05258583484880334,0.0,104
train,wav_duration_s,148.18,143.74,-0.05177952543321739,0.0,274
train,duration_discrepancy_s,0.0,0.020000000000010232,-0.0020892022830345247,0.0,109
train,sample_rate,8000.0,8000.0,,0.0,1
train,channels,2.0,2.0,,0.0,1
train,bits_per_sample,16.0,16.0,,0.0,1
train,file_bytes,4741804.0,4599724.0,-0.05177952543321739,0.0,274
train,channel_correlation,-3.3578407630361665e-05,4.17370549269148e-06,0.029556521512520032,0.0,282
train,caller_rms,0.03792895706696346,0.07797347075600893,0.5063721046498356,0.0,282
train,caller_clipped_fraction,0.0,0.0,,0.0,1
train,caller_digital_zero_fraction,0.0008285870092098885,0.0009344456322541234,0.11071472945516903,0.0,282
train,agent_rms,0.0567283561909189,0.05204725799962791,-0.4712598460109021,0.0,282
train,agent_clipped_fraction,0.0,0.0,,0.0,1
train,agent_digital_zero_fraction,0.026090834248079033,0.029179480870955836,0.4626373419907083,0.0,282
train,duration_s,148.18,143.74,-0.05177952543321739,0.0,274
train,caller_speech_s,38.14000000000002,36.240000000000016,-0.12867088906086255,0.0,281
train,agent_speech_s,78.51999999999997,67.0,-0.42614743156982154,0.0,279
train,silence_s,32.50000000000004,41.23999999999999,0.39832423558809604,0.0,280
train,overlap_s,3.76000000000002,1.3400000000000176,-0.4749222940029904,0.0,255
train,caller_turn_count,19.0,13.0,-0.4530400048140864,0.0,42
train,agent_turn_count,20.0,18.0,-0.2810641147238084,0.0,29
train,leading_silence_s,0.3,0.3,-0.09399176277519815,0.0,23
train,trailing_silence_s,0.8799999999999955,0.8400000000000034,-0.052298738333432127,0.0,64
train,caller_proportion,0.2617671345995044,0.2507129277566538,-0.10271446799313352,0.0,282
train,caller_turn_mean,1.9813333333333325,2.610769230769228,0.2986319820189806,0.0,282
train,caller_turn_median,1.3799999999999957,1.8999999999999984,0.31312260109928985,0.0,252
train,caller_turn_std,1.894204611733145,2.247129943384702,0.18076146314499092,0.0,282
train,caller_turn_iqr,1.9200000000000017,2.479999999999997,0.21671825181070703,0.0,280
train,caller_turn_cv,0.9495955469029927,0.855080077649258,-0.178894735470516,0.0,282
train,agent_turn_mean,3.7800000000000016,3.617333333333333,-0.11711495429201134,0.0,281
train,agent_turn_median,3.280000000000001,2.8800000000000097,-0.2106746228011624,0.0,255
train,agent_turn_std,2.8679907019839948,2.9385108050905644,0.07284682520153433,0.0,282
train,agent_turn_iqr,3.4599999999999795,3.5800000000000054,0.08471395903266933,0.0,277
train,agent_turn_cv,0.7484069676479296,0.8199322708619546,0.22582960271445757,0.0,282
train,caller_pause_count,18.0,12.0,-0.4530400048140864,0.0,42
train,caller_pause_mean,5.5520000000000005,7.013333333333334,0.3284552228531172,0.0,281
train,caller_pause_median,4.5,6.060000000000002,0.16111672152411122,0.0,266
train,caller_pause_std,5.000384429665828,6.053549522237495,0.31383247879684806,0.0,282
train,caller_pause_iqr,6.699999999999996,7.61999999999999,0.18507278943019784,0.0,279
train,caller_pause_cv,0.9161390879334528,0.8703168119562047,-0.09035850862398981,0.0,282
train,response_latency_count,8.0,7.0,-0.2973525915301216,0.0,13
train,response_latency_mean,1.193333333333334,2.49714285714286,0.7934927054934643,0.0,281
train,response_latency_median,1.1499999999999968,2.3799999999999955,0.8137665690338856,0.0,240
train,response_latency_std,0.46142936356726727,0.6823279479630261,0.23858730050246343,0.010638297872340425,279
train,response_latency_iqr,0.41999999999999993,0.5499999999999954,0.18715710617250486,0.010638297872340425,266
train,response_latency_cv,0.4001914888851603,0.2176904354640707,-0.41435024333837256,0.010638297872340425,279
train,interruption_stop_latency_count,1.0,1.0,-0.21251438131622297,0.0,12
train,interruption_stop_latency_mean,1.0999999999999996,1.3549999999999982,0.12086820112005323,0.29432624113475175,183
train,interruption_stop_latency_median,0.980000000000004,1.2849999999999993,0.13723074220570627,0.29432624113475175,178
train,interruption_stop_latency_std,0.908383871898405,0.9193475947648984,0.023148258403413786,0.8120567375886525,53
train,interruption_stop_latency_iqr,0.8649999999999975,0.8200000000000021,0.030864344537885047,0.8120567375886525,53
train,interruption_stop_latency_cv,0.736753620986495,0.7124330250999893,-0.018004200980432945,0.8120567375886525,53
train,recovery_latency_count,0.0,0.0,-0.4191987861260245,0.0,9
train,recovery_latency_mean,1.8800000000000023,3.243333333333335,0.15798098178185174,0.74822695035461,70
train,recovery_latency_median,1.5600000000000005,3.0899999999999963,0.1777330747835102,0.74822695035461,67
train,recovery_latency_std,1.00881418537115,2.2954157212438324,0.3056992027188027,0.9574468085106383,12
train,recovery_latency_iqr,1.2299999999999969,2.280000000000001,0.3056992027188027,0.9574468085106383,12
train,recovery_latency_cv,0.7195780016872824,0.6698684011411962,-0.131013944022344,0.9574468085106383,12
train,recovery_gap_count,0.0,0.0,-0.41143505518281404,0.0,9
train,recovery_gap_mean,-0.3849999999999998,1.9499999999999955,0.3753105417849717,0.75177304964539,69
train,recovery_gap_median,-0.1799999999999997,1.9499999999999955,0.36560743312517746,0.75177304964539,68
train,recovery_gap_std,1.7750117370503975,4.6994609619969525,0.48038446141526137,0.9574468085106383,12
train,recovery_gap_iqr,1.6000000000000023,4.68,0.48038446141526137,0.9574468085106383,12
train,recovery_gap_cv,0.7118391868522191,,,0.9964539007092199,1
train,barge_overlap_count,5.0,1.0,-0.5020886538341542,0.0,28
train,barge_overlap_mean,0.6359999999999999,0.6000000000000156,-0.05714004351286855,0.1879432624113475,218
train,barge_overlap_median,0.5,0.6000000000000005,0.11686519347861853,0.1879432624113475,165
