anon_id,label,f0_median,f0_std,f0_iqr,voiced_fraction,f0_range_semitones
call_bf4ed1a05c84,human,140.25326982734947,78.1918040868364,50.95976353593284,0.5616255829447035,19.1
call_0ab7d2a0c0f5,human,131.6189975633551,35.67124530143392,20.726667568875442,0.7441705529646903,11.520046263200767
call_57f113803718,human,173.6723084928454,25.826472251194634,35.069364353728275,0.9173884077281812,8.599999999999998
call_a766613f8c8a,human,129.3578619651426,39.70276375482343,44.41989477868498,0.8747461069735951,15.044928533056328
call_224586045e67,human,122.804867039613,23.68237588897944,36.00437757905415,0.36309127248501,8.579953736799233
call_624a4731ab56,human,120.69515292814242,39.26954631080072,25.143094704253542,0.42771485676215854,8.200000000000005
call_acda78859d0d,human,148.59316324529286,23.330960324153054,21.555400411195535,0.8514323784143905,7.0
call_a0fbbe7bfec4,human,147.73732960138994,47.72147207223282,40.79071038742231,0.7881412391738841,13.8
call_65a7cdefc22d,human,231.8247189419629,70.38790471761834,83.37063413690424,0.7641572285143238,13.4
call_22d0f235a47e,human,120.0,23.721453340831182,23.523288301277674,0.7381745502998002,9.6
call_e118b75d4937,human,230.48950681224102,56.75873277374915,48.573257192872745,0.8774150566289141,12.3
call_51851f91f064,human,240.0,36.00516060597147,44.68194695017806,0.6871621621621622,6.699999999999996
call_c647ee088162,human,233.1676658768654,34.52826904514115,43.62181483547613,0.7741477272727273,8.655071466943667
call_fce92bad5095,human,258.7157239302852,40.29256015896349,42.37556279023073,0.7901399067288475,8.874945795762958
call_3332ecee2806,human,227.18597203586555,48.194354267388306,41.208122739538,0.7328447701532311,17.21000004754486
call_d17b2416d506,synthetic,141.88293432325779,43.6621507071008,76.64876911350306,0.5316455696202531,15.299999999999997
call_30c4f6565eec,synthetic,119.30885085810569,27.83819983168387,28.51707133891243,0.7115256495669554,13.059999392767782
call_bba20372ca37,synthetic,199.49709507426905,36.327822932033655,43.59019225291502,0.9467021985343105,9.9
call_2cd6a0b37e59,synthetic,124.2317908609653,11.89993172572514,15.122262447540066,0.9668508287292817,5.699999999999999
call_dcdbcc7d70e4,synthetic,122.09756305232236,19.579723487104346,21.30709751508961,0.8514323784143905,8.2
call_f68d3459fdc7,synthetic,100.90756983044574,12.231444803283686,16.24391288689681,0.9740173217854764,6.700000000000001
call_fe828697f60d,synthetic,194.9405751254965,34.87364355811411,53.41524544911641,0.9487008660892738,9.484963126901889
call_5823cd70919d,synthetic,229.16198493849998,36.84287960927464,42.41845428588067,0.832778147901399,7.8000000000000025
call_a8ca5b456ce4,synthetic,133.14833664814137,36.57395048146145,40.60988890088625,0.7834776815456362,12.1
call_6dfa70c50ea5,synthetic,245.60973407922594,29.97045839356642,45.7263379523971,0.8481012658227848,6.699999999999999
call_189410107163,synthetic,219.44718381154655,23.19415440574974,23.95716187360179,0.8580946035976016,6.199999999999994
call_f1372119b403,synthetic,200.65276998924227,47.71429828825887,52.78581843487217,0.3331112591605596,11.504986305207208
call_ce6146a1c53e,synthetic,242.7886656724614,28.755950345419624,39.76683825267628,0.9686875416389074,6.299999999999997
call_4e9cec0da4ea,synthetic,126.40332431458029,15.770468452958744,22.86163749650804,0.9820119920053297,6.735065742462142
call_7a250598cb8b,synthetic,126.40332431458029,17.851905044901486,23.806552541923537,0.927381745502998,7.4
