domain,model,item,y,score,p,n_chunks,no_speech
external_ood_channel,specialist,call_000_synthetic_edge-tts,1,-6.9790942668914795,0.0042283842560546,2,False
external_ood_channel,specialist_silero,call_000_synthetic_edge-tts,1,-6.682840824127197,0.005517245547378907,2,False
external_ood_channel,orig_only,call_000_synthetic_edge-tts,1,-3.304942011833191,0.03540203779177837,2,False
external_ood_channel,robust_v2,call_000_synthetic_edge-tts,1,-0.7806015312671661,0.08771939526318036,2,False
external_ood_channel,specialist,call_001_synthetic_edge-tts,1,-8.693150997161865,0.0009033030492819812,2,False
external_ood_channel,specialist_silero,call_001_synthetic_edge-tts,1,-4.949978351593018,0.025818106000379103,2,False
external_ood_channel,orig_only,call_001_synthetic_edge-tts,1,-2.366554617881775,0.08575888695331768,2,False
external_ood_channel,robust_v2,call_001_synthetic_edge-tts,1,0.02800285816192627,0.5209898005506861,2,False
external_ood_channel,specialist,call_002_synthetic_edge-tts,1,-3.225259780883789,0.11164477987464243,1,False
external_ood_channel,specialist_silero,call_002_synthetic_edge-tts,1,-3.489922523498535,0.09006066805656474,1,False
external_ood_channel,orig_only,call_002_synthetic_edge-tts,1,-1.1739673614501953,0.2361386138658278,1,False
external_ood_channel,robust_v2,call_002_synthetic_edge-tts,1,-0.0833345353603363,0.4378226115349595,1,False
external_ood_channel,specialist,call_003_synthetic_edge-tts,1,-3.4026741981506348,0.09672482660810228,2,False
external_ood_channel,specialist_silero,call_003_synthetic_edge-tts,1,-5.931756019592285,0.010808795779554906,2,False
external_ood_channel,orig_only,call_003_synthetic_edge-tts,1,-2.874594211578369,0.053423846696257445,2,False
external_ood_channel,robust_v2,call_003_synthetic_edge-tts,1,0.5104910731315613,0.8222217615478618,2,False
external_ood_channel,specialist,call_004_synthetic_edge-tts,1,1.3577706217765808,0.8871452411801505,2,False
external_ood_channel,specialist_silero,call_004_synthetic_edge-tts,1,-1.0379400253295898,0.4749952747148156,2,False
external_ood_channel,orig_only,call_004_synthetic_edge-tts,1,0.15700078010559082,0.5391697692913058,2,False
external_ood_channel,robust_v2,call_004_synthetic_edge-tts,1,5.065710186958313,0.999999748828738,2,False
external_ood_channel,specialist,call_005_synthetic_edge-tts,1,-2.5737825334072113,0.1845042489749495,2,False
external_ood_channel,specialist_silero,call_005_synthetic_edge-tts,1,-3.3321473598480225,0.10243011934401773,1,False
external_ood_channel,orig_only,call_005_synthetic_edge-tts,1,0.04180355370044708,0.5104493667480906,1,False
external_ood_channel,robust_v2,call_005_synthetic_edge-tts,1,2.5440993309020996,0.9995156885766286,1,False
external_ood_channel,specialist,call_006_synthetic_edge-tts,1,-0.8101794719696045,0.5263356403640417,1,False
external_ood_channel,specialist_silero,call_006_synthetic_edge-tts,1,-0.8101794719696045,0.5263356403640417,1,False
external_ood_channel,orig_only,call_006_synthetic_edge-tts,1,0.7206242084503174,0.6727444572115178,1,False
external_ood_channel,robust_v2,call_006_synthetic_edge-tts,1,1.1240564584732056,0.9668233464802872,1,False
external_ood_channel,specialist,call_007_synthetic_edge-tts,1,,0.5,0,True
external_ood_channel,specialist_silero,call_007_synthetic_edge-tts,1,-3.0853639245033264,0.12479339754192177,2,False
external_ood_channel,orig_only,call_007_synthetic_edge-tts,1,-0.4273127168416977,0.39476821220976854,2,False
external_ood_channel,robust_v2,call_007_synthetic_edge-tts,1,4.0070531368255615,0.9999939844659496,2,False
external_ood_channel,specialist,call_008_synthetic_edge-tts,1,-4.773173213005066,0.03014977529103824,2,False
external_ood_channel,specialist_silero,call_008_synthetic_edge-tts,1,-5.771708011627197,0.01246740251261744,1,False
external_ood_channel,orig_only,call_008_synthetic_edge-tts,1,-3.7449088096618652,0.02309194213537805,1,False
external_ood_channel,robust_v2,call_008_synthetic_edge-tts,1,-1.9591658115386963,0.0027939600825660996,1,False
external_ood_channel,specialist,call_009_synthetic_edge-tts,1,-1.020232617855072,0.4789818046590853,2,False
external_ood_channel,specialist_silero,call_009_synthetic_edge-tts,1,-4.249108076095581,0.04751533450106176,2,False
external_ood_channel,orig_only,call_009_synthetic_edge-tts,1,0.47395339608192444,0.6163190443668703,2,False
external_ood_channel,robust_v2,call_009_synthetic_edge-tts,1,1.7723798155784607,0.9951171890837653,2,False
external_ood_channel,specialist,call_010_synthetic_edge-tts,1,-5.5009965896606445,0.01586280110378182,1,False
external_ood_channel,specialist_silero,call_010_synthetic_edge-tts,1,-5.795312881469727,0.012207835866334626,1,False
external_ood_channel,orig_only,call_010_synthetic_edge-tts,1,-3.7238032817840576,0.023572878461155838,1,False
external_ood_channel,robust_v2,call_010_synthetic_edge-tts,1,-5.547555446624756,5.9180934513973324e-08,1,False
external_ood_channel,specialist,call_011_synthetic_edge-tts,1,-6.210106611251831,0.008428059456026343,2,False
external_ood_channel,specialist_silero,call_011_synthetic_edge-tts,1,-5.549218654632568,0.015197554786596667,1,False
external_ood_channel,orig_only,call_011_synthetic_edge-tts,1,-3.331512212753296,0.03450581519163351,1,False
external_ood_channel,robust_v2,call_011_synthetic_edge-tts,1,-0.21216168999671936,0.346041525737726,1,False
external_ood_channel,specialist,call_012_synthetic_edge-tts,1,3.1425602436065674,0.975219142205413,1,False
external_ood_channel,specialist_silero,call_012_synthetic_edge-tts,1,2.7112584114074707,0.9638536087698308,1,False
external_ood_channel,orig_only,call_012_synthetic_edge-tts,1,2.034567356109619,0.8843789236130207,1,False
external_ood_channel,robust_v2,call_012_synthetic_edge-tts,1,8.00879192352295,0.9999999999632314,1,False
external_ood_channel,specialist,call_013_synthetic_edge-tts,1,,0.5,0,True
external_ood_channel,specialist_silero,call_013_synthetic_edge-tts,1,-2.5455663204193115,0.1883664017506081,1,False
external_ood_channel,orig_only,call_013_synthetic_edge-tts,1,1.9461939334869385,0.8750310356192161,1,False
external_ood_channel,robust_v2,call_013_synthetic_edge-tts,1,4.824409484863281,0.9999994819680788,1,False
external_ood_channel,specialist,call_014_synthetic_edge-tts,1,2.406684398651123,0.9529566296408601,1,False
external_ood_channel,specialist_silero,call_014_synthetic_edge-tts,1,-0.32316362857818604,0.632962618027748,1,False
external_ood_channel,orig_only,call_014_synthetic_edge-tts,1,1.022468090057373,0.7354530746027284,1,False
external_ood_channel,robust_v2,call_014_synthetic_edge-tts,1,7.0840373039245605,0.9999999994107154,1,False
external_ood_channel,specialist,call_015_synthetic_edge-tts,1,-9.01158094406128,0.0006778435996017074,2,False
external_ood_channel,specialist_silero,call_015_synthetic_edge-tts,1,0.5178688168525696,0.7864969163825307,1,False
external_ood_channel,orig_only,call_015_synthetic_edge-tts,1,2.3974802494049072,0.9166349580079676,1,False
external_ood_channel,robust_v2,call_015_synthetic_edge-tts,1,7.481269836425781,0.9999999998210312,1,False
external_ood_channel,specialist,call_016_synthetic_edge-tts,1,-4.8549487590789795,0.028065085790168497,2,False
external_ood_channel,specialist_silero,call_016_synthetic_edge-tts,1,-1.7248252630233765,0.32739692523037556,1,False
external_ood_channel,orig_only,call_016_synthetic_edge-tts,1,-0.3879924416542053,0.40420067277488,1,False
external_ood_channel,robust_v2,call_016_synthetic_edge-tts,1,0.38796529173851013,0.7620398947872189,1,False
external_ood_channel,specialist,call_017_synthetic_edge-tts,1,-0.6265430673956871,0.5673783586789941,2,False
external_ood_channel,specialist_silero,call_017_synthetic_edge-tts,1,1.1619337797164917,0.8682042992373451,2,False
external_ood_channel,orig_only,call_017_synthetic_edge-tts,1,0.876052737236023,0.7060035840117482,2,False
external_ood_channel,robust_v2,call_017_synthetic_edge-tts,1,0.6190141439437866,0.864951846811476,2,False
external_ood_channel,specialist,call_018_synthetic_edge-tts,1,6.25750207901001,0.9984741405998945,1,False
external_ood_channel,specialist_silero,call_018_synthetic_edge-tts,1,1.1921115517616272,0.8712894311292215,2,False
external_ood_channel,orig_only,call_018_synthetic_edge-tts,1,0.8369566202163696,0.6978238581562771,2,False
external_ood_channel,robust_v2,call_018_synthetic_edge-tts,1,4.142793238162994,0.9999959966686975,2,False
external_ood_channel,specialist,call_019_synthetic_edge-tts,1,-4.596867720286052,0.03516664794262589,3,False
external_ood_channel,specialist_silero,call_019_synthetic_edge-tts,1,2.0642642974853516,0.9369960928474687,1,False
external_ood_channel,orig_only,call_019_synthetic_edge-tts,1,1.08838951587677,0.7480783356524007,1,False
external_ood_channel,robust_v2,call_019_synthetic_edge-tts,1,2.7258787155151367,0.9997192137831166,1,False
external_ood_channel,specialist,call_020_synthetic_edge-tts,1,-5.159413818269968,0.0214672218779502,2,False
external_ood_channel,specialist_silero,call_020_synthetic_edge-tts,1,3.5852108001708984,0.9832433388858541,1,False
external_ood_channel,orig_only,call_020_synthetic_edge-tts,1,4.816173553466797,0.9919673328366362,1,False
external_ood_channel,robust_v2,call_020_synthetic_edge-tts,1,8.957244873046875,0.9999999999978633,1,False
external_ood_channel,specialist,call_021_synthetic_edge-tts,1,,0.5,0,True
